HSRating,ESL,HSProgram,SummerBeforeHS,SuccessScholarship,DualEnrollment,Gender,Race,HSRegion,TimeUntilFCE,CollegeRegion,MovedAfterHS,persistIndicator
3,0,0,1,2,0,0,4,3,2.58064516,3,0,1
6,1,0,0,1,0,0,4,3,2.48387097,7,1,0
6,1,0,0,2,0,1,4,3,2.51612903,7,1,1
6,0,0,1,2,0,1,6,3,2.58064516,7,1,0
6,1,0,1,2,0,0,4,3,2.58064516,7,1,0
7,0,0,1,1,0,0,2,3,2.48387097,7,1,0
7,0,0,1,2,0,1,4,3,2.58064516,3,0,0
3,0,0,0,1,0,0,6,3,0.35483871,3,0,0
4,0,0,1,1,0,1,4,5,2.48387097,7,0,0
-1,0,0,0,2,0,0,4,4,2.74193548,9,0,1
-1,0,0,0,1,0,1,2,5,0.29032258,5,1,0
7,0,0,1,2,0,0,5,3,0.4516129,3,0,0
5,0,0,0,1,0,0,5,6,2.51612903,5,1,0
5,0,0,1,2,0,0,4,5,2.51612903,7,0,0
7,0,0,0,1,0,1,4,5,2.51612903,7,0,0
1,0,0,0,1,0,1,6,4,2.74193548,9,0,0
4,0,0,0,1,0,1,1,6,2.41935484,8,0,1
5,0,0,0,2,0,0,4,5,2.61290323,7,0,0
-1,0,0,1,2,0,1,1,3,0.35483871,3,0,1
1,0,0,0,1,0,0,5,6,2.74193548,10,1,0
6,0,0,1,2,0,0,4,3,0.51612903,3,0,0
6,0,0,1,2,0,1,4,5,2.61290323,7,0,0
1,0,0,1,2,0,0,4,5,0.4516129,7,0,0
1,0,0,1,2,0,0,2,5,2.58064516,7,0,0
1,0,0,1,2,0,0,4,5,2.58064516,7,0,0
-1,0,0,1,2,0,0,4,5,0.32258065,3,1,0
8,0,0,1,2,0,1,4,3,0.51612903,3,0,0
2,0,0,0,1,0,0,4,4,2.70967742,9,0,0
2,0,0,0,1,0,0,4,4,2.70967742,2,1,1
3,0,0,0,1,0,0,3,1,2.41935484,2,1,0
7,0,0,1,1,0,0,4,3,2.48387097,7,1,1
7,0,0,1,2,0,1,4,3,0.51612903,7,1,0
7,0,0,0,2,0,1,4,3,2.58064516,7,1,0
3,0,0,1,2,0,1,4,3,0.4516129,7,1,0
3,0,0,1,2,0,0,4,3,0.51612903,3,0,0
4,0,0,1,1,0,1,3,5,2.70967742,9,1,1
8,0,0,0,1,0,0,5,3,0.4516129,3,0,0
8,0,0,0,1,0,0,4,3,2.67741935,2,1,0
-1,0,0,0,1,0,0,4,3,2.67741935,3,0,0
-1,0,0,1,1,0,0,5,3,2.80645161,2,1,0
5,0,1,1,1,0,0,4,3,2.70967742,2,1,0
5,0,0,1,2,0,0,4,3,0.4516129,3,0,0
5,0,0,1,2,0,0,4,3,0.4516129,3,0,0
4,0,0,0,1,0,0,4,7,3.61290323,1,1,0
4,0,0,0,1,0,1,4,7,3.61290323,1,1,1
4,0,0,0,1,0,1,6,7,2.93548387,4,1,0
6,0,0,0,2,0,0,4,6,2.51612903,8,0,0
6,0,0,0,2,0,1,5,6,2.51612903,8,0,0
0,0,0,0,1,0,0,4,5,2.48387097,7,0,0
0,0,0,1,2,0,0,4,5,2.51612903,7,0,0
5,0,0,1,2,0,0,4,5,2.58064516,7,0,0
6,1,0,1,1,0,0,4,3,2.48387097,7,1,0
6,0,0,1,2,0,1,4,3,0.5483871,7,1,0
6,1,0,0,2,0,0,6,3,0.51612903,3,0,1
6,1,0,0,2,0,1,4,3,2.58064516,3,0,0
8,0,0,1,2,0,1,1,3,0.4516129,3,0,1
8,0,0,1,2,0,1,4,3,2.67741935,3,0,1
3,0,0,0,2,0,1,4,3,0.48387097,3,0,0
4,0,0,1,2,0,0,4,5,2.51612903,7,0,0
8,0,0,1,2,0,0,4,3,2.58064516,3,0,1
5,0,0,1,1,0,0,4,3,0.41935484,3,0,1
6,0,0,0,1,0,1,6,6,2.41935484,8,0,0
6,0,0,0,1,0,0,6,6,0.19354839,8,0,0
6,0,0,0,1,0,0,6,6,0.19354839,8,0,0
6,0,0,0,1,0,0,4,6,2.41935484,8,0,1
6,0,0,0,1,0,1,6,6,2.41935484,8,0,0
6,0,0,0,1,0,1,6,6,2.41935484,8,0,0
6,0,0,0,1,0,1,6,6,2.41935484,8,0,0
-1,0,0,1,1,0,1,4,5,0.41935484,7,0,1
-1,0,0,1,1,0,1,4,5,2.70967742,2,1,0
6,0,0,0,1,0,1,5,6,2.93548387,8,0,1
5,0,0,1,1,0,1,4,5,2.48387097,7,0,0
5,0,0,1,1,0,0,4,5,2.48387097,7,0,1
5,0,0,1,1,0,0,6,5,2.48387097,7,0,0
5,0,0,0,1,0,0,4,5,2.48387097,7,0,0
5,0,0,0,1,0,0,4,5,0.41935484,7,0,0
5,0,0,1,1,0,1,4,5,0.41935484,7,0,0
5,0,0,1,1,0,0,4,5,0.41935484,7,0,0
5,0,0,1,1,0,1,4,5,2.48387097,7,0,1
5,0,0,1,1,0,0,4,5,0.41935484,7,0,0
5,0,0,1,1,0,0,4,5,2.48387097,7,0,1
5,0,0,1,2,0,0,4,5,2.58064516,7,0,1
5,0,0,1,2,0,0,4,5,0.51612903,7,0,0
5,0,0,1,2,0,1,4,5,2.58064516,7,0,0
5,0,0,1,2,0,1,4,5,2.58064516,7,0,0
5,0,0,1,2,0,1,6,5,0.4516129,7,0,1
5,0,0,1,2,0,0,4,5,2.51612903,7,0,1
1,0,0,0,1,0,1,1,4,2.70967742,9,0,0
0,0,0,1,1,0,0,4,5,2.48387097,7,0,0
0,0,0,1,2,0,0,4,5,0.51612903,7,0,0
0,0,0,1,2,0,0,4,5,0.4516129,7,0,0
5,0,0,1,1,0,0,4,5,0.41935484,7,0,0
5,0,0,1,2,0,1,4,5,2.61290323,7,0,0
5,0,0,1,2,0,0,4,5,0.51612903,7,0,0
0,0,0,0,1,0,0,4,4,2.70967742,9,0,0
0,0,0,0,1,0,0,4,4,2.70967742,9,0,0
0,0,0,0,2,0,0,1,4,2.74193548,9,0,0
0,0,0,0,2,0,0,4,4,2.74193548,9,0,1
-1,0,0,1,2,0,1,4,3,2.67741935,3,0,1
-1,1,0,1,2,0,1,4,3,2.58064516,3,0,1
-1,1,0,0,2,0,1,4,3,0.51612903,3,0,1
6,0,0,1,1,0,0,4,3,0.41935484,3,0,0
6,1,0,1,1,0,0,4,3,0.41935484,3,0,0
6,1,0,0,1,0,0,4,3,0.41935484,3,0,0
6,1,0,0,1,0,0,4,3,2.48387097,7,1,0
6,0,0,1,1,0,0,1,3,0.41935484,7,1,0
6,0,0,1,2,0,0,1,3,2.5483871,7,1,0
6,0,0,1,2,0,0,4,3,0.58064516,7,1,0
6,0,0,0,2,0,1,4,3,2.5483871,3,0,0
6,1,0,1,2,0,1,4,3,2.61290323,7,1,0
6,1,0,0,2,0,1,4,3,0.51612903,7,1,0
6,1,0,0,2,0,1,4,3,0.51612903,7,1,0
6,0,0,1,2,0,0,4,3,2.51612903,7,1,1
6,0,0,1,2,0,1,4,3,0.4516129,7,1,0
6,1,0,0,2,0,1,6,3,0.4516129,7,1,0
6,1,0,1,2,0,0,4,3,2.51612903,7,1,1
6,0,0,1,2,0,1,4,3,0.4516129,3,0,1
6,1,0,0,2,0,0,4,3,0.4516129,3,0,1
6,0,0,1,2,0,1,4,3,2.58064516,3,0,0
6,0,0,0,2,0,0,4,3,2.64516129,3,0,0
6,0,0,1,1,0,1,4,5,2.48387097,7,0,1
6,0,0,1,1,0,1,4,5,2.48387097,7,0,1
6,0,0,1,1,0,1,4,5,0.41935484,7,0,0
6,0,0,1,2,0,1,4,5,2.61290323,7,0,0
6,0,0,1,2,0,1,4,5,2.61290323,7,0,0
4,0,0,0,1,0,0,6,6,2.41935484,8,0,0
4,0,0,0,2,0,0,4,6,2.4516129,8,0,1
1,0,0,1,1,0,0,4,5,2.48387097,7,0,1
1,0,0,0,1,0,0,4,5,2.48387097,7,0,1
1,0,0,1,1,0,0,4,5,2.48387097,7,0,0
1,0,0,1,2,0,1,4,5,0.51612903,7,0,1
1,0,0,1,2,0,0,4,5,0.51612903,7,0,0
1,0,0,1,2,0,1,4,5,2.58064516,7,0,0
8,0,0,1,2,0,0,4,3,0.4516129,3,0,1
8,0,0,1,2,0,1,2,3,2.67741935,3,0,0
8,0,0,1,2,0,0,4,3,2.51612903,7,1,0
8,0,0,1,2,0,1,4,3,0.4516129,3,0,1
2,0,0,0,1,0,1,4,4,2.70967742,9,0,1
7,0,0,1,1,0,1,4,3,2.48387097,7,1,0
7,0,0,1,2,0,1,2,3,2.51612903,7,1,1
7,1,0,0,2,0,0,4,3,0.4516129,7,1,0
7,1,0,0,2,0,1,4,3,0.4516129,7,1,1
7,0,0,1,2,0,0,4,3,2.51612903,7,1,0
7,1,0,1,2,0,1,4,3,2.58064516,7,1,1
3,0,0,0,1,0,0,1,3,0.41935484,3,0,0
3,0,0,1,1,0,0,4,3,0.41935484,3,0,0
3,0,0,0,1,0,0,4,3,2.64516129,3,0,0
3,0,1,1,1,0,1,4,3,0.41935484,3,0,0
3,0,0,0,1,0,0,5,3,0.41935484,3,0,0
3,0,0,1,2,0,1,4,3,0.38709677,3,0,0
3,0,0,1,2,0,1,4,3,0.61290323,7,1,1
3,0,0,0,2,0,0,2,3,0.58064516,7,1,1
3,0,0,0,2,0,0,4,3,2.64516129,3,0,0
3,0,0,1,2,0,1,4,3,0.35483871,3,0,0
3,0,0,1,2,0,0,4,3,0.35483871,3,0,0
3,0,0,0,2,0,1,4,3,2.5483871,3,0,0
3,0,0,0,2,0,0,4,3,0.32258065,3,0,1
3,0,0,1,2,0,0,4,3,2.61290323,7,1,0
3,0,0,0,2,0,0,4,3,0.32258065,3,0,0
3,0,0,1,2,0,1,4,3,0.51612903,3,0,0
3,0,0,1,2,0,0,4,3,0.51612903,3,0,1
4,0,0,0,1,0,0,4,7,3.61290323,1,1,0
4,0,0,0,1,0,0,4,7,3.61290323,1,1,0
4,0,0,1,1,0,0,4,5,2.48387097,7,0,0
4,0,0,0,1,0,1,4,5,2.48387097,7,0,0
4,0,0,1,1,0,1,5,5,0.41935484,7,0,1
4,0,0,1,1,0,0,4,5,2.48387097,7,0,0
4,0,0,0,1,0,0,4,5,2.48387097,7,0,0
4,0,0,1,1,0,0,4,5,2.48387097,7,0,1
4,0,0,1,2,0,0,6,5,2.61290323,7,0,0
4,0,0,1,2,0,1,4,5,2.61290323,7,0,0
4,0,0,1,2,0,0,4,5,0.5483871,7,0,0
4,0,0,1,2,0,0,6,5,0.51612903,7,0,1
4,0,0,1,2,0,0,4,5,2.58064516,7,0,0
4,0,0,1,1,0,0,4,5,2.74193548,2,1,1
4,0,0,1,2,0,0,2,5,2.51612903,7,0,1
4,0,0,1,2,0,1,4,5,2.51612903,7,0,0
4,0,0,1,2,0,1,4,5,2.51612903,7,0,0
4,0,0,1,2,0,0,4,5,0.4516129,7,0,0
-1,0,0,0,2,0,1,4,4,2.74193548,2,1,1
-1,0,0,0,2,0,0,6,4,2.74193548,9,0,1
8,0,0,0,2,0,0,4,3,2.64516129,3,0,0
8,0,0,1,2,0,1,6,3,2.58064516,3,0,0
8,0,0,1,2,0,1,6,3,2.67741935,3,0,0
8,0,0,1,2,0,0,5,3,0.4516129,3,0,0
8,0,0,0,1,0,1,6,3,0.4516129,3,0,0
8,0,0,1,2,0,0,4,3,0.4516129,3,0,0
8,0,0,1,2,0,1,6,3,2.58064516,3,0,0
5,0,0,1,1,0,0,4,3,2.48387097,7,1,0
5,0,0,1,2,0,1,4,3,0.35483871,3,0,0
5,0,0,1,2,0,0,4,3,2.64516129,3,0,0
5,0,0,1,2,0,0,6,3,2.5483871,3,0,0
5,0,0,1,2,0,0,5,3,0.5483871,7,1,0
5,0,0,1,2,0,1,4,3,0.51612903,3,0,0
5,0,0,1,2,0,1,4,3,2.58064516,3,0,1
5,0,0,1,2,0,1,4,3,0.51612903,3,0,0
5,0,0,1,2,0,0,4,3,0.4516129,3,0,1
5,0,0,1,2,0,0,4,3,0.4516129,3,0,0
5,0,0,0,1,0,1,4,3,2.67741935,3,0,1
5,0,0,1,2,0,1,4,3,0.5483871,7,1,0
5,0,0,1,2,0,0,4,3,2.67741935,3,0,0
1,0,0,0,1,0,0,4,6,0.12903226,8,0,0
1,0,0,0,2,0,0,4,6,2.4516129,8,0,1
1,0,0,0,2,0,0,6,6,2.4516129,8,0,0
1,0,0,0,2,0,1,4,6,2.4516129,8,0,1
2,0,0,1,1,0,0,4,3,2.48387097,7,1,1
2,0,0,1,2,0,0,4,3,0.58064516,7,1,0
4,0,0,0,1,0,0,4,7,2.93548387,9,1,1
4,0,0,0,1,0,1,5,7,2.87096774,5,1,1
6,0,0,0,1,0,0,6,6,2.5483871,5,1,0
6,0,0,0,1,0,0,6,6,2.41935484,8,0,0
6,0,0,0,1,0,1,6,6,0.19354839,8,0,0
6,0,0,0,1,0,0,4,6,0.19354839,8,0,0
6,0,0,0,1,0,1,4,6,2.64516129,2,1,0
6,0,0,0,1,0,1,6,6,0.41935484,8,0,0
6,0,0,0,1,0,0,4,6,2.5483871,5,1,1
5,0,0,0,1,0,0,6,2,0.0,10,1,0
5,0,0,0,1,0,1,1,2,0.41935484,10,1,0
5,0,0,0,1,0,0,4,2,2.38709677,10,1,0
5,0,0,0,1,0,0,3,2,2.38709677,10,1,0
5,0,0,0,2,0,1,5,2,0.22580645,10,1,0
2,0,0,0,1,0,0,6,7,3.61290323,9,1,0
2,0,0,0,1,0,1,4,7,2.93548387,9,1,1
-1,0,0,1,1,0,1,4,5,0.41935484,7,0,1
-1,0,0,0,1,1,1,4,5,2.93548387,6,1,1
-1,0,0,0,1,0,1,1,5,2.48387097,7,0,1
-1,0,0,0,2,0,1,4,5,0.4516129,7,0,0
-1,0,0,1,2,0,1,2,5,2.74193548,10,1,1
7,0,0,1,1,0,1,4,3,0.41935484,3,0,0
7,0,0,1,1,0,1,4,3,0.41935484,3,0,0
7,0,0,1,2,0,1,5,3,0.4516129,3,0,0
7,0,0,1,2,0,0,1,3,2.58064516,3,0,0
6,0,0,0,1,0,1,6,6,2.41935484,8,0,0
6,0,0,0,1,0,1,5,6,2.41935484,8,0,0
6,0,0,0,1,0,1,6,6,2.41935484,8,0,0
6,0,0,0,2,0,1,6,6,0.64516129,8,0,0
6,0,0,0,1,0,0,4,6,2.41935484,8,0,0
6,0,0,0,1,0,1,6,6,0.41935484,8,0,0
6,0,0,0,1,0,1,4,6,2.41935484,8,0,0
6,0,0,0,1,0,0,4,6,2.41935484,8,0,1
6,0,0,0,2,0,1,6,6,0.32258065,8,0,0
6,0,0,0,1,0,0,4,6,2.41935484,8,0,0
6,0,0,0,2,0,0,4,6,2.51612903,8,0,0
6,0,0,0,2,0,0,6,6,2.51612903,8,0,0
-1,0,0,0,1,0,0,4,1,2.80645161,9,1,0
5,0,0,0,1,0,0,2,1,0.4516129,8,1,0
5,0,0,1,1,0,1,4,5,0.41935484,7,0,0
5,0,0,1,1,0,0,4,5,2.48387097,7,0,0
5,0,0,1,1,0,0,4,5,2.48387097,7,0,0
5,0,0,1,1,0,0,4,5,0.41935484,7,0,0
5,0,0,1,1,0,0,4,5,2.48387097,7,0,0
5,0,0,1,1,0,1,4,5,2.48387097,7,0,0
5,0,0,1,1,0,0,4,5,2.48387097,7,0,0
5,0,0,1,1,0,0,4,5,0.41935484,7,0,0
5,0,0,1,1,0,0,4,5,2.48387097,7,0,1
5,0,0,1,1,0,0,4,5,0.41935484,7,0,0
5,0,0,1,2,0,1,4,5,2.58064516,7,0,1
5,0,0,1,2,0,1,5,5,2.51612903,7,0,0
5,0,0,1,2,0,0,4,5,2.51612903,7,0,0
5,0,0,1,2,0,0,4,5,0.4516129,7,0,0
5,0,0,1,2,0,0,4,5,2.51612903,7,0,0
5,0,0,1,2,0,0,4,5,2.58064516,7,0,0
3,0,0,0,1,0,0,1,6,0.32258065,5,1,1
6,0,0,0,1,0,0,4,5,0.4516129,7,0,0
6,0,0,0,1,0,0,5,5,2.51612903,7,0,0
6,0,0,0,1,0,1,2,5,2.51612903,7,0,0
1,0,0,0,1,0,1,4,4,2.70967742,9,0,0
1,0,0,0,1,0,1,4,4,2.70967742,9,0,0
1,0,0,0,1,0,0,4,4,2.74193548,9,0,0
1,0,0,0,1,0,1,4,4,2.70967742,9,0,1
1,0,0,0,1,0,0,4,4,2.70967742,9,0,0
4,0,0,0,1,0,1,6,4,2.83870968,9,0,0
4,0,0,0,1,1,0,6,4,2.70967742,9,0,0
8,0,0,0,1,0,0,2,5,2.61290323,6,1,1
0,0,0,1,1,0,1,4,5,2.48387097,7,0,0
0,0,0,1,1,0,0,4,5,2.48387097,7,0,0
0,0,0,1,1,0,0,4,5,0.41935484,7,0,0
0,0,0,1,1,0,0,4,5,0.41935484,7,0,0
0,0,0,1,1,0,0,4,5,2.48387097,7,0,0
0,0,0,0,1,0,0,1,5,2.48387097,7,0,1
0,0,0,0,2,0,1,1,5,2.67741935,7,0,0
0,0,0,1,2,0,0,4,5,2.51612903,7,0,1
0,0,0,1,2,0,1,4,5,2.51612903,7,0,0
0,0,0,0,2,0,1,6,5,2.61290323,7,0,0
0,0,0,1,2,0,1,4,5,2.58064516,7,0,0
0,0,0,1,2,0,1,4,5,0.4516129,7,0,0
4,0,0,0,1,0,0,4,1,0.4516129,6,1,0
4,0,0,0,1,0,0,4,1,2.58064516,6,1,0
8,0,0,0,1,0,1,6,7,0.87096774,1,1,0
8,0,0,0,1,0,1,6,7,3.61290323,1,1,0
6,0,0,0,1,0,0,6,6,2.41935484,8,0,0
6,0,0,0,1,0,1,6,6,0.41935484,8,0,0
6,0,0,0,1,0,0,2,6,2.4516129,8,0,0
6,0,0,0,1,0,1,6,6,2.41935484,8,0,0
6,0,0,0,1,0,0,6,6,2.41935484,8,0,0
6,0,0,0,1,0,1,6,6,2.41935484,8,0,0
2,0,0,0,1,0,1,5,6,2.41935484,8,0,0
-1,0,0,0,1,0,1,6,4,2.70967742,9,0,0
2,0,0,0,1,0,1,6,6,2.41935484,8,0,0
2,0,0,0,1,0,1,6,6,2.41935484,8,0,0
2,0,0,0,1,0,1,6,6,2.41935484,8,0,0
2,0,0,0,1,0,0,6,6,2.4516129,8,0,0
2,0,0,0,1,0,1,6,6,2.41935484,8,0,0
5,0,0,1,1,0,0,4,5,2.48387097,7,0,0
5,0,0,0,1,0,0,4,5,2.48387097,7,0,1
5,0,0,1,1,0,0,4,5,0.41935484,7,0,0
5,0,0,0,1,0,0,4,5,0.41935484,7,0,1
5,0,0,1,1,0,1,4,5,0.41935484,7,0,0
5,0,0,1,1,0,1,4,5,2.48387097,7,0,0
5,0,0,1,2,0,0,4,5,0.61290323,7,0,0
5,0,0,1,2,0,0,4,5,0.51612903,7,0,0
5,0,0,1,2,0,1,4,5,2.51612903,7,0,0
5,0,0,1,2,0,0,4,5,2.51612903,7,0,0
5,0,0,0,2,0,0,4,5,0.48387097,7,0,0
1,0,0,0,1,0,0,6,6,2.41935484,8,0,1
1,0,0,0,1,0,0,6,6,2.41935484,8,0,0
1,0,0,0,1,0,0,6,7,0.87096774,1,1,0
1,0,0,0,1,0,1,6,7,3.61290323,1,1,0
1,0,0,0,1,0,0,4,7,2.93548387,4,1,1
0,0,0,0,1,0,0,4,4,2.70967742,9,0,1
0,0,0,0,1,0,0,4,4,2.70967742,9,0,0
0,0,0,0,1,0,1,1,4,0.0,9,0,0
0,0,0,0,1,0,1,1,4,2.70967742,9,0,0
0,0,0,0,1,0,1,4,4,2.70967742,9,0,0
0,0,0,0,1,0,1,4,4,2.70967742,9,0,0
0,0,0,0,1,0,1,4,4,2.70967742,9,0,1
0,0,0,0,1,0,0,4,4,2.70967742,9,0,0
0,0,0,0,2,0,1,6,4,2.74193548,9,0,0
-1,0,0,0,1,0,0,4,6,2.58064516,8,0,1
-1,0,0,0,1,0,0,4,6,2.41935484,8,0,0
4,0,0,0,1,0,0,4,4,2.64516129,3,1,0
4,0,0,0,1,0,0,4,4,0.41935484,2,1,0
9,0,0,0,1,0,0,4,6,0.41935484,5,1,1
9,0,0,0,1,0,1,6,6,2.41935484,8,0,0
9,0,0,0,1,0,1,6,6,2.41935484,8,0,0
9,0,0,0,1,0,0,6,6,0.41935484,3,1,0
-1,0,0,0,1,0,0,4,3,0.41935484,3,0,0
-1,0,0,0,1,0,1,4,3,0.41935484,3,0,1
-1,0,0,0,2,0,1,4,3,0.32258065,3,0,1
6,0,0,0,1,0,0,6,5,0.41935484,7,0,0
-1,0,0,1,2,0,1,4,3,2.67741935,2,1,0
-1,0,0,0,2,0,0,4,3,2.64516129,3,0,0
-1,1,0,0,1,0,0,4,3,0.4516129,3,0,0
-1,0,0,1,2,0,0,4,3,0.4516129,3,0,0
3,0,0,0,1,0,1,6,7,2.93548387,9,1,1
